clock_counter=0, pc=0, r_1=0, r_2=0, r_3=0, r_4=0, r_5=0, r_6=0, r_7=0, r_8=0, r_9=0, r_a=0, r_b=0, r_c=0, r_d=0, r_e=0, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=0, 
clock_counter=1, pc=0, r_1=0, r_2=0, r_3=0, r_4=0, r_5=0, r_6=0, r_7=0, r_8=0, r_9=0, r_a=0, r_b=0, r_c=0, r_d=0, r_e=0, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=0, 
clock_counter=2, pc=0, r_1=0, r_2=0, r_3=0, r_4=0, r_5=0, r_6=0, r_7=0, r_8=0, r_9=0, r_a=0, r_b=0, r_c=0, r_d=0, r_e=0, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=0, 
clock_counter=3, pc=0, r_1=0, r_2=0, r_3=0, r_4=0, r_5=0, r_6=0, r_7=0, r_8=0, r_9=0, r_a=0, r_b=0, r_c=0, r_d=0, r_e=0, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=0, 
clock_counter=4, pc=0, r_1=ffffffff, r_2=0, r_3=0, r_4=0, r_5=0, r_6=0, r_7=0, r_8=0, r_9=0, r_a=0, r_b=0, r_c=0, r_d=0, r_e=0, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=0, 
clock_counter=5, pc=4, r_1=ffffffff, r_2=fffffffe, r_3=0, r_4=0, r_5=0, r_6=0, r_7=0, r_8=0, r_9=0, r_a=0, r_b=0, r_c=0, r_d=0, r_e=0, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=0, 
clock_counter=6, pc=8, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=0, r_6=0, r_7=0, r_8=0, r_9=0, r_a=0, r_b=0, r_c=0, r_d=0, r_e=0, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=0, 
clock_counter=7, pc=c, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=0, r_6=0, r_7=0, r_8=0, r_9=0, r_a=0, r_b=0, r_c=0, r_d=0, r_e=0, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=0, 
clock_counter=8, pc=10, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=0, r_7=0, r_8=0, r_9=0, r_a=0, r_b=0, r_c=0, r_d=0, r_e=0, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=0, 
clock_counter=9, pc=14, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=0, r_8=0, r_9=0, r_a=0, r_b=0, r_c=0, r_d=0, r_e=0, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=0, 
clock_counter=10, pc=18, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=0, r_9=0, r_a=0, r_b=0, r_c=0, r_d=0, r_e=0, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=0, 
clock_counter=11, pc=1c, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=0, r_a=0, r_b=0, r_c=0, r_d=0, r_e=0, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=0, 
clock_counter=12, pc=20, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=0, r_b=0, r_c=0, r_d=0, r_e=0, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=0, 
clock_counter=13, pc=24, r_1=ffffffff, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=0, r_b=0, r_c=0, r_d=0, r_e=0, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=14, pc=28, r_1=ffffff01, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=0, r_b=0, r_c=0, r_d=0, r_e=0, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=15, pc=2c, r_1=ffffff01, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=0, r_c=0, r_d=0, r_e=0, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=16, pc=30, r_1=ffffff01, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=0, r_d=0, r_e=0, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=17, pc=34, r_1=ffffff01, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=0, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=18, pc=38, r_1=ffffff01, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=0, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=19, pc=3c, r_1=ffffff01, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=0, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
clock_counter=20, pc=40, r_1=ffffff01, r_2=fffffffe, r_3=1, r_4=0, r_5=543, r_6=3fffffff, r_7=ffffffff, r_8=ffffffff, r_9=fffffabc, r_a=123, r_b=fffffedd, r_c=246, r_d=0, r_e=1, r_f=fffffe22, r_10=0, r_11=0, r_12=0, r_13=0, r_14=0, r_15=0, r_16=0, r_17=0, r_18=0, r_19=0, r_1a=0, r_1b=0, r_1c=0, r_1d=0, r_1e=0, r_1f=123, 
